Codigo;Abreviatura;Descritivo;tipologia
+ suc GD;+ su;+ suc GD;1
+ Suces Port;+ su;+ Sucesso Port;1
+ Sucess BG;+ su;+ Sucess BG;1
+ Sucess Fil;+ su;+ Sucess Fil;1
+ Sucess FQ;+ su;+ Sucess FQ;1
+ Sucess Geo;+ su;+ Sucess Geo;1
+ Sucess Hist;+ su;+ Sucesso Hist;1
+ Sucess Ing;+ su;+ Sucess Ing;1
+ Sucess Mat;+ su;+ Sucess Mat;1
+ Sucesso FR;+ su;+ Sucesso FR;1
+ Sucesso GD;+ su;+ Sucesso GD;1
+Sucess Hist;+ su;+Sucess Hist;1
+Sucesso;+ su;+Sucesso;1
+Sucesso_CN;+ su;+Sucesso_CN;1
A. Apr. FR;A.Fr;Apoio Francês;1
A.C.T2;A.C;A.C.T2;1
A.E.C.;A.E;A.E.C.;1
A.Integração;A.I;A.INTEGRAÇÃO;1
A.V.D.;A.V;A.V.D.;1
A_Comp;AC;A.C.;1
A_Int;AI;Area Int;1
ACAD.ELET.;ACA;ACAD.ELET.;1
ACP;ACP;ATIV. CAPACIT.;1
Adj Dir;Adj;Adj Direção;1
AE  FQ;APA;APA FQ;1
AE Biol.;AE;AE BioGeo;1
AE CN;APA;APA CN;1
AE E.V.;AE;AE E.V.;1
AE Econ.;APA;APA Econ.;1
AE Fil.;AE;AE Fil.;1
AE Física;AE F;AE Física;1
AE FQA;APA;APA FQA;1
AE FR;APA;APA FR;1
AE GDA;APA;APA GDA;1
AE Geo;APA;APA Geo;1
AE Hist;APA;APA Hist;1
AE Ing;APA;APA Ing;1
AE Macs;APA;APA Macs;1
AE MAT;APA;APA MAT;1
AE Port.;APA;APA Port.;1
AEC_AFD;AEC;AEC_AFD;1
AEC_DANÇA;AEC;AEC_DANÇA;1
AEC_INGLÊS;AEC;AEC_INGLÊS;1
AEC_IOGA;AEC;AEC_IOGA;1
AEC_JUDO;AEC;AEC_JUDO;1
AEC_TEATRO;AEC;AEC_TEATRO;1
AI Bio;APA;AI_Bio;1
AI CN;APA;AI_CN;1
AI Econ;APA;AI_Econ;1
AI EV;APA;AI_EV;1
AI Filos;APA;AI_Filos;1
AI FQ;APA;AI FQ;1
AI Franc;AI F;AI Franc;1
AI GD;APA;AI GD;1
AI Geo;APA;AI Geo;1
AI HCA;APA;AI HCA;1
AI Hist;AI H;AI Hist;1
AI Ing;APA;AI Ing;1
AI Macs;AI;AI_Macs;1
AI Mat;Apa;AI Mat;1
AI P.S.I.;AI;AI PSI;1
AI Port;APA;AI Port;1
